__,,__,_,__,__,____,______,____,__,____,____,,,,,,,,,,,,,,
____,Y,____________,___,39.8262531,116.398118,20/11/2017,30/11/2017,10,,,1,,,,,,,,,,,,,,
____,Y,__________,___,39.8127201,116.393917,16/11/2017,30/11/2017,14,,,1,,,,,,,,,,,,,,
____,Y,________________,___,39.852406,116.398145,25/11/2017,30/11/2017,5,,,1,,,,,,,,,,,,,,
____,Y,__________18_______,___,39.79426,116.37021,,,,,,1,,,,,,,,,,,,,,
____,Y,_____________,___,39.844614,116.379721,26/11/2017,3/12/2017,7,,,1,,,,,,,,,,,,,,
____,Y,___________________21__4_414____,___,39.81186,116.52268,,,,,,1,,,,,,,,,,,,,,
____,Y,_________,___,39.804302,116.445553,21/11/2017,26/11/2017,5,________,,1,,,,,,,,,,,,,,
____,Y,__________,___,39.715944,116.353272,20/11/2017,27/11/2017,7,__,,1,,,,,,,,,,,,,,
____,Y,______________,___,39.7782051,116.378986,21/11/2017,24/11/2017,3,____,,1,,,,,,,,,,,,,,
____,Y,______________,___,39.735319,116.425771,22/11/2017,23/11/2017,1,__________,,1,,,,,,,,,,,,,,
____,Y,_________59________4______,___,39.71509,116.34628,,30/11/2017,,,,1,,,,,,,,,,,,,,
____,Y,_________,___,39.7429112,116.3225384,23/11/2017,27/11/2017,4,_____,,1,,,,,,,,,,,,,,
____,Y,_________,___,39.743407,116.34022,23/11/2017,2017-11-31,8,,,2,,,,,,,,,,,,,,
____,Y,__________,___,40.0863822,116.3086228,22/11/2017,22/12/2017,30,_____,,1,,,,,,,,,,,,,,
____,Y,____________,___,40.058684,116.3335,22/11/2017,22/12/2017,30,_____,,1,,,,,,,,,,,,,,
____,Y,__________,___,40.1031502,116.2815148,22/11/2017,22/12/2017,30,_____,,1,,,,,,,,,,,,,,
____,Y,______________,___,40.1123949,116.2615664,23/11/2017,15/12/2017,22,__,,1,,,,,,,,,,,,,,
____,Y,__________,___,39.921523,116.575336,22/11/2017,30/11/2017,8,,,1,,,,,,,,,,,,,,
____,Y,__________,___,39.851147,116.48289,24/11/2017,27/11/2017,3,,,1,,,,,,,,,,,,,,
____,Y,_______________,___,39.8434891,116.4526214,1/11/2017,30/11/2017,29,_____,,1,,,,,,,,,,,,,,
____,Y,______________,___,39.848504,116.455761,20/11/2017,30/11/2017,10,________,1000,1,,,,,,,,,,,,,,
____,Y,_________,___,39.940851,116.533822,20/11/2017,4/12/2017,14,,,1,,,,,,,,,,,,,,
____,Y,__________,___,40.048928,116.486229,19/11/2017,24/11/2017,5,,,1,,,,,,,,,,,,,,
____,Y,_______________,___,39.9788641,116.587117,,30/11/2017,,__________,,1,,,,,,,,,,,,,,
____,Y,_______________,___,40.036712,116.304902,22/11/2017,25/11/2017,3,_____,,1,,,,,,,,,,,,,,
____,Y,____________-_______,___,39.974794,116.3581037,24/11/2017,30/11/2017,6,,,1,,,,,,,,,,,,,,
____,Y,____________,___,39.955113,116.274851,20/11/2017,23/11/2017,,,,1,,,,,,,,,,,,,,
____,Y,_____________,___,39.9498831,116.255054,18/11/2017,30/11/2017,12,_____,,1,,,,,,,,,,,,,,
____,Y,_________________,___,39.96048,116.37037,16/11/2017,30/11/2017,14,,,1,,,,,,,,,,,,,,
____,Y,___________,___,39.99995,116.26388,26/11/2017,1/12/2017,5,,,1,,,,,,,,,,,,,,
____,N,___________,___,39.85096,116.46207,23/11/2017,,,,700___,1,,,,,,,,,,,,,,
____,N,__________,___,39.86117,116.44809,22/11/2017,25/11/2017,3,,,1,,,,,,,,,,,,,,
____,N,____________,___,39.7951262,116.3605764,15/11/2017,25/11/2017,10,__,,1,,,,,,,,,,,,,,
____,N,__________,___,39.870561,116.29685,,,,,589,1,,,,,,,,,,,,,,
____,N,______________________________,___,39.8331101,116.400945,,,,,,1,,,,,,,,,,,,,,
____,N,_________________,___,39.8446521,116.428926,,,,,,1,,,,,,,,,,,,,,
____,N,____________,___,40.016843,116.50543,26/11/2017,15/12/2017,19,_____,,1,,,,,,,,,,,,,,
____,N,_________,___,39.878303,116.224278,25/11/2017,27/11/2017,2,,,1,,,,,,,,,,,,,,
____,N,___________________,___,39.8772536,116.2195918,21/11/2017,24/11/2017,3,_____,500,1,,,,,,,,,,,,,,
